t_mono,phase,n1_vel,n2_vel,n1_pos,n2_pos
104054.742696095,engage,,,,
104054.7635142,engage,,,,
104054.783692223,engage,,,,
104054.803839781,engage,,,,
104054.824014763,engage,,,,
104054.844152497,engage,,,,
104054.864577054,engage,,,-54125416,-71085975
104054.88477991,engage,,,-54125416,-71085975
104054.904920619,engage,,,-54125416,-71085975
104054.925063376,engage,,,-54125416,-71085975
104054.945206774,engage,,,-54125416,-71085975
104054.965325019,engage,,,-54125416,-71085975
104054.985449248,engage,,,-54125416,-71085975
104055.005586693,engage,,,-54125416,-71085975
104055.025724523,engage,,,-54125416,-71085975
104055.045853296,engage,,,-54125416,-71085975
104055.065957332,engage,,,-54125416,-71085975
104055.086083609,engage,,,-54125416,-71085975
104055.106439013,engage,,,-54125416,-71085975
104055.126585162,engage,,,-54125416,-71085975
104055.146681167,engage,,,-54125416,-71085975
104055.1668229,engage,,,-54125416,-71085975
104055.187090749,engage,,,-54125416,-71085975
104055.207346438,engage,,,-54125416,-71085975
104055.227490763,engage,,,-54125416,-71085975
104055.247625201,engage,,,-54125416,-71085975
104055.267758454,engage,,,-54125416,-71085975
104055.287890171,engage,,,-54125416,-71085975
104055.308104739,engage,,,-54125416,-71085975
104055.328424205,engage,,,-54125416,-71085975
104055.349009984,engage,,,-54125416,-71085968
104055.369150917,engage,,,-54125416,-71085968
104055.389291083,engage,,,-54125416,-71085968
104055.409414928,engage,,,-54125416,-71085968
104055.429553269,engage,,,-54125416,-71085968
104055.449678714,engage,,,-54125416,-71085968
104055.469806079,engage,,,-54125416,-71085968
104055.489945508,engage,,,-54125416,-71085968
104055.51008321,engage,,,-54125416,-71085968
104055.530222063,engage,,,-54125416,-71085968
104055.550353844,engage,,,-54125416,-71085968
104055.570498586,engage,,,-54125416,-71085968
104055.590990314,engage,,,-54125416,-71085968
104055.611923846,engage,0,0,-54125416,-71085975
104055.632160686,engage,0,0,-54125416,-71085975
104055.652313844,engage,0,0,-54125416,-71085975
104055.67246057,engage,0,0,-54125416,-71085975
104055.692600479,engage,0,0,-54125416,-71085975
104055.712748037,engage,0,0,-54125416,-71085975
104055.732881994,engage,0,0,-54125416,-71085975
104055.753016335,engage,0,0,-54125416,-71085975
104055.773160085,engage,0,0,-54125416,-71085975
104055.793290906,engage,0,0,-54125416,-71085975
104055.813429567,engage,0,0,-54125416,-71085975
104055.833568997,engage,0,0,-54125416,-71085975
104055.853700618,engage,0,0,-54125416,-71085975
104055.874127224,engage,0,0,-54125416,-71085975
104055.894265885,engage,0,0,-54125416,-71085975
104055.914396802,engage,0,0,-54125416,-71085975
104055.934534343,engage,0,0,-54125416,-71085975
104055.954678029,engage,0,0,-54125416,-71085975
104055.974830547,engage,0,0,-54125416,-71085975
104055.994977304,engage,0,0,-54125416,-71085975
104056.015235617,engage,0,0,-54125416,-71085975
104056.035377286,engage,0,0,-54125416,-71085975
104056.055517132,engage,0,0,-54125416,-71085975
104056.075648913,engage,0,0,-54125416,-71085975
104056.096210978,engage,0,0,-54125416,-71085968
104056.11635396,engage,0,0,-54125416,-71085968
104056.136492685,engage,0,0,-54125416,-71085968
104056.156628531,engage,0,0,-54125416,-71085968
104056.176773304,engage,0,0,-54125416,-71085968
104056.196907709,engage,0,0,-54125416,-71085968
104056.217028322,engage,0,0,-54125416,-71085968
104056.237156327,engage,0,0,-54125416,-71085968
104056.257282892,engage,0,0,-54125416,-71085968
104056.277415249,engage,0,0,-54125416,-71085968
104056.29754543,engage,0,0,-54125416,-71085968
104056.318016133,engage,0,0,-54125416,-71085975
104056.338224685,engage,0,0,-54125416,-71085975
104056.358358546,engage,0,0,-54125416,-71085975
104056.378491447,engage,0,0,-54125416,-71085975
104056.398652733,engage,0,0,-54125416,-71085975
104056.418888389,engage,0,0,-54125416,-71085975
104056.439010634,engage,0,0,-54125416,-71085975
104056.459147215,engage,0,0,-54125416,-71085975
104056.479281333,engage,0,0,-54125416,-71085975
104056.499424538,engage,0,0,-54125416,-71085975
104056.519584768,engage,0,0,-54125416,-71085975
104056.540143825,engage,0,0,-54125416,-71085975
104056.560371097,engage,0,0,-54125416,-71085975
104056.580487998,engage,0,0,-54125416,-71085975
104056.600595203,engage,0,0,-54125416,-71085975
104056.620738376,engage,0,0,-54125416,-71085975
104056.640871757,engage,0,0,-54125416,-71085975
104056.66100821,engage,0,0,-54125416,-71085975
104056.681157464,engage,0,0,-54125416,-71085975
104056.701293565,engage,0,0,-54125416,-71085975
104056.721423874,engage,0,0,-54125416,-71085975
104056.742135992,fwd,0,0,-54125416,-71085975
104056.763935502,fwd,0,0,-54125416,-71085975
104056.784140277,fwd,0,0,-54125416,-71085975
104056.804276922,fwd,0,0,-54125416,-71085975
104056.824424736,fwd,0,0,-54125416,-71085975
104056.844587974,fwd,0,0,-54125416,-71085975
104056.864717899,fwd,0,0,-54125416,-71085975
104056.884871665,fwd,0,0,-54125416,-71085975
104056.90500719,fwd,0,0,-54125416,-71085975
104056.925497989,fwd,0,0,-54125416,-71085975
104056.94583864,fwd,0,0,-54125416,-71085975
104056.965961525,fwd,0,0,-54125416,-71085975
104056.986397219,fwd,-625,-719,-54146846,-71107772
104057.006537416,fwd,-625,-719,-54146846,-71107772
104057.026668622,fwd,-625,-719,-54146846,-71107772
104057.046800915,fwd,-625,-719,-54146846,-71107772
104057.06693532,fwd,-625,-719,-54146846,-71107772
104057.087069085,fwd,-625,-719,-54146846,-71107772
104057.107206306,fwd,-625,-719,-54146846,-71107772
104057.127345192,fwd,-625,-719,-54146846,-71107772
104057.147475821,fwd,-625,-719,-54146846,-71107772
104057.167604114,fwd,-625,-719,-54146846,-71107772
104057.187746679,fwd,-625,-719,-54146846,-71107772
104057.208158628,fwd,-1345,-1351,-54178362,-71139366
104057.228295625,fwd,-1345,-1351,-54178362,-71139366
104057.248434607,fwd,-1345,-1351,-54178362,-71139366
104057.268567028,fwd,-1345,-1351,-54178362,-71139366
104057.288699033,fwd,-1345,-1351,-54178362,-71139366
104057.308862111,fwd,-1345,-1351,-54178362,-71139366
104057.32900026,fwd,-1345,-1351,-54178362,-71139366
104057.34914673,fwd,-1345,-1351,-54178362,-71139366
104057.369290031,fwd,-1345,-1351,-54178362,-71139366
104057.389451285,fwd,-1345,-1351,-54178362,-71139366
104057.409601787,fwd,-1345,-1351,-54178362,-71139366
104057.430034953,fwd,-1243,-1242,-54208220,-71169152
104057.450173454,fwd,-1243,-1242,-54208220,-71169152
104057.470368213,fwd,-1243,-1242,-54208220,-71169152
104057.49051113,fwd,-1243,-1242,-54208220,-71169152
104057.510641503,fwd,-1243,-1242,-54208220,-71169152
104057.530878311,fwd,-1243,-1242,-54208220,-71169152
104057.551009612,fwd,-1243,-1242,-54208220,-71169152
104057.571129393,fwd,-1243,-1242,-54208220,-71169152
104057.591264758,fwd,-1243,-1242,-54208220,-71169152
104057.611401756,fwd,-1243,-1242,-54208220,-71169152
104057.631531361,fwd,-1243,-1242,-54208220,-71169152
104057.651953518,fwd,-1228,-1238,-54237731,-71198781
104057.67233129,fwd,-1228,-1238,-54237731,-71198781
