t_mono,phase,cmd,n1_vel,n2_vel,n1_pos,n2_pos
104743.952881579,engage,,0,0,0,0
104743.952912684,engage,,0,0,0,0
104743.959595334,engage,,0,0,0,0
104743.970032681,engage,,0,0,0,0
104743.980110115,engage,,0,0,0,0
104743.990484644,engage,,0,0,0,0
104744.002704121,engage,,0,0,0,0
104744.013121788,engage,,0,0,0,0
104744.023518558,engage,,0,0,0,0
104744.024292564,engage,,0,0,-54125560,-71085903
104744.034693814,engage,,0,0,-54125560,-71085903
104744.039891848,engage,,0,0,-54125560,-71085903
104744.050383852,engage,,0,0,-54125560,-71085903
104744.059914134,engage,,0,0,-54125560,-71085903
104744.070556736,engage,,0,0,-54125560,-71085903
104744.08008737,engage,,0,0,-54125560,-71085903
104744.090631856,engage,,0,0,-54125560,-71085903
104744.099981973,engage,,0,0,-54125560,-71085903
104744.11068752,engage,,0,0,-54125560,-71085903
104744.119859008,engage,,0,0,-54125560,-71085903
104744.131522085,engage,,0,0,-54125560,-71085903
104744.14208542,engage,,0,0,-54125560,-71085903
104744.153286277,engage,,0,0,-54125560,-71085903
104744.160267624,engage,,0,0,-54125560,-71085903
104744.171006004,engage,,0,0,-54125560,-71085903
104744.1809002,engage,,0,0,-54125560,-71085903
104744.19137758,engage,,0,0,-54125560,-71085903
104744.200287333,engage,,0,0,-54125560,-71085903
104744.210789354,engage,,0,0,-54125560,-71085903
104744.22039279,engage,,0,0,-54125560,-71085903
104744.231124482,engage,,0,0,-54125560,-71085903
104744.240055387,engage,,0,0,-54125560,-71085903
104744.250530527,engage,,0,0,-54125560,-71085903
104744.260488245,engage,,0,0,-54125560,-71085903
104744.270970874,engage,,0,0,-54125560,-71085903
104744.280379041,engage,,0,0,-54125560,-71085903
104744.290875334,engage,,0,0,-54125560,-71085903
104744.30050373,engage,,0,0,-54125560,-71085903
104744.310990007,engage,,0,0,-54125560,-71085903
104744.320930189,engage,,0,0,-54125560,-71085903
104744.331389009,engage,,0,0,-54125560,-71085903
104744.340053154,engage,,0,0,-54125560,-71085903
104744.350498822,engage,,0,0,-54125560,-71085903
104744.360023888,engage,,0,0,-54125560,-71085903
104744.370663161,engage,,0,0,-54125560,-71085903
104744.380409321,engage,,0,0,-54125560,-71085903
104744.390845388,engage,,0,0,-54125560,-71085903
104744.401801086,engage,,0,0,-54125560,-71085903
104744.401920129,engage,,0,0,-54125560,-71085903
104744.412344484,engage,,0,0,-54125560,-71085903
104744.420201888,engage,,0,0,-54125560,-71085903
104744.430659268,engage,,0,0,-54125560,-71085903
104744.440236015,engage,,0,0,-54125560,-71085903
104744.450722324,engage,,0,0,-54125560,-71085903
104744.459883955,engage,,0,0,-54125560,-71085903
104744.470359,engage,,0,0,-54125560,-71085903
104744.48076873,engage,,0,0,-54125560,-71085903
104744.481524079,engage,,0,0,-54125560,-71085903
104744.49251853,engage,,0,0,-54125560,-71085903
104744.50023769,engage,,0,0,-54125560,-71085903
104744.510699774,engage,,0,0,-54125560,-71085903
104744.52152366,engage,,0,0,-54125560,-71085903
104744.521626031,engage,,0,0,-54125560,-71085903
104744.53207269,engage,,0,0,-54125560,-71085903
104744.54021935,engage,,0,0,-54125560,-71085903
104744.550715035,engage,,0,0,-54125560,-71085903
104744.559836697,engage,,0,0,-54125560,-71085903
104744.570269277,engage,,0,0,-54125560,-71085903
104744.580665407,engage,,0,0,-54125560,-71085903
104744.581407956,engage,,0,0,-54125560,-71085903
104744.592121375,engage,,0,0,-54125560,-71085903
104744.600072797,engage,,0,0,-54125560,-71085903
104744.610522432,engage,,0,0,-54125560,-71085903
104744.61990119,engage,,0,0,-54125560,-71085903
104744.630436972,engage,,0,0,-54125560,-71085903
104744.641104758,engage,,0,0,-54125560,-71085903
104744.642091218,engage,,0,0,-54125560,-71085903
104744.652475923,engage,,0,0,-54125560,-71085903
104744.66017009,engage,,0,0,-54125560,-71085903
104744.670590573,engage,,0,0,-54125560,-71085903
104744.681693507,engage,,0,0,-54125560,-71085903
104744.681792774,engage,,0,0,-54125560,-71085903
104744.692183464,engage,,0,0,-54125560,-71085903
104744.699989954,engage,,0,0,-54125560,-71085903
104744.710487751,engage,,0,0,-54125560,-71085903
104744.72040934,engage,,0,0,-54125560,-71085903
104744.730904513,engage,,0,0,-54125560,-71085903
104744.740169827,engage,,0,0,-54125560,-71085903
104744.75063796,engage,,0,0,-54125560,-71085903
104744.761067627,engage,,0,0,-54125560,-71085903
104744.763722517,engage,,0,0,-54125560,-71085903
104744.774151576,engage,,0,0,-54125560,-71085903
104744.780225377,engage,,0,0,-54125560,-71085903
104744.790714822,engage,,0,0,-54125560,-71085903
104744.800130829,engage,,0,0,-54125560,-71085903
104744.810582641,engage,,0,0,-54125560,-71085903
104744.820279264,engage,,0,0,-54125560,-71085903
104744.830800229,engage,,0,0,-54125560,-71085903
104744.840100521,engage,,0,0,-54125560,-71085903
104744.85059707,engage,,0,0,-54125560,-71085903
104744.85991989,engage,,0,0,-54125560,-71085903
104744.870408855,engage,,0,0,-54125560,-71085903
104744.880857339,engage,,0,0,-54125560,-71085903
104744.891826829,engage,,0,0,-54125560,-71085903
104744.902276048,engage,,0,0,-54125560,-71085903
104744.903052422,engage,,0,0,-54125560,-71085903
104744.913457513,engage,,0,0,-54125560,-71085903
104744.920202149,engage,,0,0,-54125560,-71085903
104744.930667529,engage,,0,0,-54125560,-71085903
104744.939996301,engage,,0,0,-54125560,-71085903
104744.95053906,engage,,0,0,-54125560,-71085903
104744.960040093,engage,,0,0,-54125560,-71085903
104744.970609348,engage,,0,0,-54125560,-71085903
104744.980273554,engage,,0,0,-54125560,-71085903
104744.990717525,engage,,0,0,-54125560,-71085903
104745.000462117,engage,,0,0,-54125560,-71085903
104745.010977067,engage,,0,0,-54125560,-71085903
104745.020077801,engage,,0,0,-54125560,-71085903
104745.030578734,engage,,0,0,-54125560,-71085903
104745.040112376,engage,,0,0,-54125560,-71085903
104745.050592956,engage,,0,0,-54125560,-71085903
104745.06011271,engage,,0,0,-54125560,-71085903
104745.070580074,engage,,0,0,-54125560,-71085903
104745.080087348,engage,,0,0,-54125560,-71085903
104745.090565496,engage,,0,0,-54125560,-71085903
104745.100144644,engage,,0,0,-54125560,-71085903
104745.110572807,engage,,0,0,-54125560,-71085903
104745.120676001,engage,,0,0,-54125560,-71085903
104745.133542184,engage,,0,0,-54125560,-71085903
104745.140343398,engage,,0,0,-54125560,-71085903
104745.150805866,engage,,0,0,-54125560,-71085903
