t,tag,n1,n2
0.0,idle,0,0
0.02,idle,0,0
0.04,idle,0,0
0.06,idle,0,0
0.081,idle,0,0
0.101,idle,0,0
0.121,idle,0,0
0.141,idle,0,0
0.161,idle,0,0
0.181,idle,0,0
0.202,idle,0,0
0.222,idle,0,0
0.242,idle,0,0
0.262,idle,0,0
0.282,idle,0,0
0.302,idle,0,0
0.323,idle,0,0
0.343,idle,0,0
0.367,idle,0,0
0.387,idle,0,0
0.407,idle,0,0
0.427,idle,0,0
0.447,idle,0,0
0.467,idle,0,0
0.487,idle,0,0
0.508,idle,0,0
0.528,idle,0,0
0.548,idle,0,0
0.568,idle,0,0
0.588,idle,0,0
0.608,idle,0,0
0.628,idle,0,0
0.648,idle,0,0
0.669,idle,0,0
0.689,idle,0,0
0.709,idle,0,0
0.729,idle,0,0
0.749,idle,0,0
0.769,idle,0,0
0.79,idle,0,0
0.811,idle,0,0
0.831,idle,0,0
0.851,idle,0,0
0.872,idle,0,0
0.892,idle,0,0
0.913,idle,0,0
0.933,idle,0,0
0.954,idle,0,0
0.974,idle,0,0
0.994,idle,0,0
1.014,hold_fwd,0,0
1.035,hold_fwd,0,0
1.055,hold_fwd,0,0
1.075,hold_fwd,0,0
1.095,hold_fwd,0,0
1.115,hold_fwd,0,0
1.135,hold_fwd,0,0
1.157,hold_fwd,0,0
1.177,hold_fwd,0,0
1.197,hold_fwd,0,0
1.217,hold_fwd,0,0
1.237,hold_fwd,0,0
1.258,hold_fwd,0,0
1.278,hold_fwd,-1143,0
1.298,hold_fwd,-1143,0
1.318,hold_fwd,-1143,-1188
1.338,hold_fwd,-1143,-1188
1.358,hold_fwd,-1143,-1188
1.378,hold_fwd,-1143,-1188
1.399,hold_fwd,-1143,-1188
1.419,hold_fwd,-1143,-1188
1.439,hold_fwd,-1143,-1188
1.459,hold_fwd,-1143,-1188
1.479,hold_fwd,-1317,-1188
1.499,hold_fwd,-1317,-1188
1.519,hold_fwd,-1317,-1307
1.539,hold_fwd,-1317,-1307
1.559,hold_fwd,-1317,-1307
1.58,hold_fwd,-1317,-1307
1.6,hold_fwd,-1317,-1307
1.62,hold_fwd,-1317,-1307
