iso_time,elapsed_h,viewer_alive,publishers_alive,shm_segments,viewer_rss_mb,viewer_cpu_pct,publishers_rss_mb,publishers_cpu_pct,cam0_capture_fps,cam1_capture_fps,cam2_capture_fps,cam3_capture_fps,cam4_capture_fps,cam5_capture_fps,cam0_grab_failures,cam1_grab_failures,cam2_grab_failures,cam3_grab_failures,cam4_grab_failures,cam5_grab_failures,cam0_display_fps,cam1_display_fps,cam2_display_fps,cam3_display_fps,cam4_display_fps,cam5_display_fps,cam0_rendered_delta,cam1_rendered_delta,cam2_rendered_delta,cam3_rendered_delta,cam4_rendered_delta,cam5_rendered_delta
2026-07-27T18:48:52,0.0,1,6,33,213.8,0.0,582.2,0.0,26.11,28.53,26.5,28.51,25.17,28.14,0,0,0,0,0,0,,,,,,,,,,,,
2026-07-27T18:49:22,0.0083,1,6,33,248.7,118.9,585.5,159.0,29.68,29.68,29.74,29.75,29.71,29.74,0,0,0,0,0,0,,,,,,,,,,,,
2026-07-27T18:49:52,0.0167,1,6,33,223.9,119.2,585.5,155.4,29.72,29.7,29.7,29.72,29.7,29.71,0,0,0,0,0,0,21.8,23.3,24.6,23.6,30.3,26.8,0,0,0,0,0,0
2026-07-27T18:50:23,0.025,1,6,33,240.1,109.7,585.5,154.3,29.71,29.71,29.76,29.93,29.76,29.7,0,0,0,0,0,0,,,,,,,,,,,,
2026-07-27T18:50:53,0.0334,1,6,33,226.6,120.6,585.5,154.9,29.7,29.71,29.73,29.7,29.68,29.7,0,0,0,0,0,0,23.8,26.8,24.1,22.7,24.0,26.0,77,49,126,108,75,76
2026-07-27T18:51:23,0.0417,1,6,33,231.8,120.7,585.5,154.4,29.73,29.69,29.72,29.71,29.71,29.69,0,0,0,0,0,0,,,,,,,,,,,,
2026-07-27T18:51:53,0.05,1,6,33,231.7,127.2,585.5,153.9,29.72,29.74,29.71,29.7,29.72,29.71,0,0,0,0,0,0,24.5,24.1,26.8,25.8,25.2,23.9,26,27,25,47,18,21
2026-07-27T18:52:23,0.0584,1,6,33,226.3,133.7,585.5,153.5,29.71,29.71,29.71,29.71,29.71,29.7,0,0,0,0,0,0,,,,,,,,,,,,
2026-07-27T18:52:53,0.0667,1,6,33,226.5,131.5,585.5,153.2,29.72,29.73,29.7,29.73,29.71,29.72,0,0,0,0,0,0,26.5,25.5,26.3,25.6,29.1,24.1,68,2,57,109,104,60
2026-07-27T18:53:23,0.0751,1,6,33,218.2,129.7,585.5,153.3,29.72,29.74,29.7,29.71,29.71,29.7,0,0,0,0,0,0,,,,,,,,,,,,
