mode,camera,req_fps,res,opened,frames,elapsed_s,actual_fps,fps_deficit_pct,interval_mean_ms,interval_p95_ms,interval_max_ms,jitter_ms,grab_failures
solo,cam0,30.0,1280x720,True,149,5.01,29.75,0.8,33.62,38.18,41.32,2.5,0
solo,cam1,30.0,1280x720,True,149,5.01,29.73,0.9,33.65,37.73,39.97,2.26,0
solo,cam2,30.0,1280x720,True,149,5.01,29.75,0.8,33.61,37.86,39.11,2.19,0
solo,cam3,30.0,1280x720,True,149,5.01,29.74,0.9,33.66,37.9,42.1,2.56,0
concurrent,cam0,30.0,1280x720,True,149,5.01,29.74,0.9,33.65,37.68,41.48,2.2,0
concurrent,cam1,30.0,1280x720,True,149,5.01,29.74,0.9,33.63,38.05,40.03,2.2,0
concurrent,cam2,30.0,1280x720,True,149,5.01,29.73,0.9,33.65,37.71,40.82,2.18,0
concurrent,cam3,30.0,1280x720,True,149,5.01,29.73,0.9,33.63,37.54,42.29,2.17,0
solo,cam0,30.0,1920x1080,True,149,5.02,29.7,1.0,33.68,39.0,44.52,2.64,0
solo,cam1,30.0,1920x1080,True,149,5.01,29.73,0.9,33.71,38.62,44.28,2.77,0
solo,cam2,30.0,1920x1080,True,149,5.01,29.73,0.9,33.66,39.87,45.07,2.75,0
solo,cam3,30.0,1920x1080,True,149,5.01,29.73,0.9,33.65,39.75,43.73,2.71,0
concurrent,cam0,30.0,1920x1080,True,149,5.01,29.71,1.0,33.67,38.33,41.63,2.52,0
concurrent,cam1,30.0,1920x1080,True,149,5.01,29.72,0.9,33.65,38.81,41.36,2.22,0
concurrent,cam2,30.0,1920x1080,True,149,5.01,29.73,0.9,33.65,38.02,39.52,2.17,0
concurrent,cam3,30.0,1920x1080,True,149,5.01,29.74,0.9,33.65,38.18,39.66,2.34,0
