timestamp,elapsed_s,cam0_fps,cam1_fps,cam2_fps,cam3_fps,cam4_fps,cam0_gf,cam1_gf,cam2_gf,cam3_gf,cam4_gf,new_alerts
2026-07-26 19:51:02,60,29.68,29.69,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 19:52:02,120,29.73,29.71,29.71,29.70,29.70,0,0,0,0,0,0
2026-07-26 19:53:02,180,29.71,29.72,29.70,29.69,29.71,0,0,0,0,0,0
2026-07-26 19:54:02,240,29.69,29.72,29.69,29.71,29.70,0,0,0,0,0,0
2026-07-26 19:55:02,300,29.72,29.70,29.69,29.70,29.73,0,0,0,0,0,0
2026-07-26 19:56:02,360,29.71,29.68,29.68,29.70,29.74,0,0,0,0,0,0
2026-07-26 19:57:02,420,29.70,29.69,29.71,29.73,29.69,0,0,0,0,0,0
2026-07-26 19:58:02,480,29.75,29.71,29.73,29.76,29.69,0,0,0,0,0,0
2026-07-26 19:59:02,540,29.72,29.71,29.71,29.70,29.72,0,0,0,0,0,0
2026-07-26 20:00:02,600,29.71,29.71,29.70,29.71,29.71,0,0,0,0,0,0
2026-07-26 20:01:02,660,29.70,29.70,29.73,29.70,29.71,0,0,0,0,0,0
2026-07-26 20:02:02,720,29.69,29.68,29.69,29.69,29.70,0,0,0,0,0,0
2026-07-26 20:03:02,780,29.70,29.70,29.72,29.69,29.73,0,0,0,0,0,0
2026-07-26 20:04:02,840,29.71,29.71,29.72,29.71,29.71,0,0,0,0,0,0
2026-07-26 20:05:02,900,29.73,29.71,29.73,29.74,29.71,0,0,0,0,0,0
2026-07-26 20:06:02,960,29.72,29.69,29.72,29.70,29.73,0,0,0,0,0,0
2026-07-26 20:07:02,1020,29.70,29.73,29.69,29.70,29.72,0,0,0,0,0,0
2026-07-26 20:08:02,1080,29.70,29.71,29.70,29.71,29.70,0,0,0,0,0,0
2026-07-26 20:09:02,1140,29.39,29.72,29.70,29.69,29.70,0,0,0,0,0,0
2026-07-26 20:10:02,1200,29.72,29.70,29.71,29.71,29.52,0,0,0,0,0,0
2026-07-26 20:11:02,1260,29.70,29.70,29.71,29.70,29.71,0,0,0,0,0,0
2026-07-26 20:12:02,1320,29.72,29.71,29.73,29.73,29.72,0,0,0,0,0,0
2026-07-26 20:13:02,1380,29.70,29.72,29.71,29.72,29.70,0,0,0,0,0,0
2026-07-26 20:14:02,1440,29.69,29.73,29.67,29.71,29.73,0,0,0,0,0,0
2026-07-26 20:15:02,1500,29.72,29.71,29.70,29.73,29.69,0,0,0,0,0,0
2026-07-26 20:16:02,1560,29.71,29.74,29.66,29.72,29.71,0,0,0,0,0,0
2026-07-26 20:17:02,1620,29.72,29.75,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 20:18:02,1680,29.73,29.71,29.70,29.71,29.71,0,0,0,0,0,0
2026-07-26 20:19:02,1740,29.52,29.71,29.84,29.74,29.72,0,0,0,0,0,0
2026-07-26 20:20:02,1800,29.80,29.72,29.79,29.73,29.71,0,0,0,0,0,0
2026-07-26 20:21:02,1860,29.72,29.70,29.73,29.71,29.70,0,0,0,0,0,0
2026-07-26 20:22:02,1920,29.71,29.71,29.69,29.70,29.73,0,0,0,0,0,0
2026-07-26 20:23:02,1980,29.71,29.71,29.70,29.73,29.71,0,0,0,0,0,0
2026-07-26 20:24:02,2040,29.70,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 20:25:02,2100,29.74,29.74,29.74,29.70,29.74,0,0,0,0,0,0
2026-07-26 20:26:02,2160,29.71,29.70,29.70,29.71,29.70,0,0,0,0,0,0
2026-07-26 20:27:02,2220,29.71,29.71,29.70,29.71,29.71,0,0,0,0,0,0
2026-07-26 20:28:02,2280,29.70,29.70,29.73,29.70,29.71,0,0,0,0,0,0
2026-07-26 20:29:02,2340,29.71,29.72,29.70,29.71,29.73,0,0,0,0,0,0
2026-07-26 20:30:02,2400,29.71,29.71,29.71,29.72,29.71,0,0,0,0,0,0
